traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
151e8ea44a5cf41c,1695943858153000,1695943858155643,1695943858156161,37e2b05295806961,137cfc2d87740f56,compose_user_mentions_memcached_get_client,compose_user_mentions_server,user-mention-service,user-mention-service,user-mention-service,user-mention-service,757,518
151e8ea44a5cf41c,1695943858153000,1695943858156181,1695943858156383,37e2b05295806961,5c8b3569c2aeab2b,compose_user_mentions_mongo_find_client,compose_user_mentions_server,user-mention-service,user-mention-service,user-mention-service,user-mention-service,757,202
151e8ea44a5cf41c,1695943858153000,1695943858157657,1695943858157720,28c0c85d81754dbc,eff70fdfaa786d62,social_graph_redis_get_client,get_followers_server,social-graph-service,social-graph-service,social-graph-service,social-graph-service,331,63
151e8ea44a5cf41c,1695943858153000,1695943858157732,1695943858157973,28c0c85d81754dbc,5438856594569490,social_graph_mongo_find_client,get_followers_server,social-graph-service,social-graph-service,social-graph-service,social-graph-service,331,241
151e8ea44a5cf41c,1695943858153000,1695943858157653,1695943858157984,c7dcdc37b86fe475,28c0c85d81754dbc,get_followers_server,get_followers_client,social-graph-service,social-graph-service,home-timeline-service,home-timeline-service,433,331
151e8ea44a5cf41c,1695943858153000,1695943858157607,1695943858158040,a7583c7e200715a7,c7dcdc37b86fe475,get_followers_client,write_home_timeline_server,home-timeline-service,home-timeline-service,home-timeline-service,home-timeline-service,480,433
151e8ea44a5cf41c,1695943858153000,1695943858158074,1695943858158081,a7583c7e200715a7,3153428b6b77228f,write_home_timeline_redis_update_client,write_home_timeline_server,home-timeline-service,home-timeline-service,home-timeline-service,home-timeline-service,480,7
151e8ea44a5cf41c,1695943858153000,1695943858156708,1695943858156926,3b942fb10d346b70,181ab22303c8f910,post_storage_mongo_insert_client,store_post_server,post-storage-service,post-storage-service,post-storage-service,post-storage-service,240,218
151e8ea44a5cf41c,1695943858153000,1695943858154395,1695943858154402,f0490cc8814f0527,260c210bdf504e43,compose_creator_server,compose_creator_client,user-service,user-service,compose-post-service,compose-post-service,168,7
151e8ea44a5cf41c,1695943858153000,1695943858154739,1695943858154750,4c0e8c7f77cfc57a,3813ee83cbd82b65,compose_unique_id_server,compose_unique_id_client,unique-id-service,unique-id-service,compose-post-service,compose-post-service,112,11
